number,name,organ_smiles
262,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
263,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
264,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
265,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
266,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
267,BUC(17)Co,['C1(N2C[N-]C=C2)=CC(N3C[N-]C=C3)=CC(N4C[N-]C=C4)=C1']
268,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
269,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
270,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
271,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
272,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
273,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
274,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
275,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
276,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
277,GUT(3)Zn,['CC1=CC=C(N(CC2=CC=C(C=C2)C([O-])=O)CC3=CC=C(C=C3)C([O-])=O)C=C1']
278,iMOF(1C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
279,iMOF(1C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
280,iMOF(1C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
281,iMOF(1C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
282,iMOF(1C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
283,iMOF(1C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
284,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
285,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
286,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
287,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
288,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
289,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
290,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
291,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
292,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
293,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
294,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
295,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
296,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
297,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
298,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
299,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
300,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
301,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
302,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
303,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
304,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
305,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
306,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
307,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
308,MIL(88A)Fe,['C(/C=C/C(=O)[O-])C(=O)[O-]']
