number,name,metal_smiles,organ_smiles,topo,GLD,PLD,LCD,q,VSA,GSA,VF,AV,Tem,pH,Dosage,Concentration,Capacity,Source,DOI
34,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,54.36170215,108.7234043,Literature,10.1038/srep16613
35,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,84.893617,169.787234,Literature,10.1038/srep16613
36,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,101.2765958,202.5531915,Literature,10.1038/srep16613
37,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,121.7852513,241.2765957,Literature,10.1038/srep16613
38,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,142.2939068,280,Literature,10.1038/srep16613
39,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,166.9366278,309.787234,Literature,10.1038/srep16613
40,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,194.2324411,312.7659574,Literature,10.1038/srep16613
41,UiO(66)Zr,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],fcu,8.98564,3.87578,8.98564,1.21741,1397.1,1147.6,0.61325,0.503735,298,2,0.5,224.9691146,315.7446809,Literature,10.1038/srep16613
42,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,278,7,0.4,10,19.25826741,Literature,10.1039/c6cp00249h
43,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,278,7,0.4,20,24.34715199,Literature,10.1039/c6cp00249h
