number,name,metal_smiles,organ_smiles,topo,GLD,PLD,LCD,q,VSA,GSA,VF,AV,Tem,pH,Dosage,Concentration,Capacity,Source,DOI
85,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,318,7,2,200,96.49414196,Literature,10.1016/j.jssc.2018.02.012
86,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,1,0.745064216,Literature,10.1016/j.jssc.2018.02.012
87,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,5,2.668995081,Literature,10.1016/j.jssc.2018.02.012
88,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,10,5.073268206,Literature,10.1016/j.jssc.2018.02.012
89,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,15,6.515575898,Literature,10.1016/j.jssc.2018.02.012
90,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,20,9.882241426,Literature,10.1016/j.jssc.2018.02.012
91,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,30,14.93202623,Literature,10.1016/j.jssc.2018.02.012
92,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,40,19.49933393,Literature,10.1016/j.jssc.2018.02.012
93,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,50,24.54783782,Literature,10.1016/j.jssc.2018.02.012
94,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,60,29.59719566,Literature,10.1016/j.jssc.2018.02.012
95,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,80,39.45638065,Literature,10.1016/j.jssc.2018.02.012
96,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,100,49.55637724,Literature,10.1016/j.jssc.2018.02.012
97,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,120,58.9377818,Literature,10.1016/j.jssc.2018.02.012
98,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,150,72.90271895,Literature,10.1016/j.jssc.2018.02.012
99,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,180,84.97959079,Literature,10.1016/j.jssc.2018.02.012
100,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,308,7,2,200,92.71160678,Literature,10.1016/j.jssc.2018.02.012
101,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,1,0.504679601,Literature,10.1016/j.jssc.2018.02.012
102,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,5,2.187371909,Literature,10.1016/j.jssc.2018.02.012
103,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,10,5.071987293,Literature,10.1016/j.jssc.2018.02.012
104,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,15,7.476687389,Literature,10.1016/j.jssc.2018.02.012
105,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,20,9.880533543,Literature,10.1016/j.jssc.2018.02.012
106,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,30,15.16984902,Literature,10.1016/j.jssc.2018.02.012
107,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,40,20.21963383,Literature,10.1016/j.jssc.2018.02.012
108,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,50,25.26856469,Literature,10.1016/j.jssc.2018.02.012
109,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,60,30.07839186,Literature,10.1016/j.jssc.2018.02.012
110,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,80,39.45638065,Literature,10.1016/j.jssc.2018.02.012
111,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,100,49.31898142,Literature,10.1016/j.jssc.2018.02.012
112,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,120,58.46427108,Literature,10.1016/j.jssc.2018.02.012
113,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,150,71.96338298,Literature,10.1016/j.jssc.2018.02.012
114,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,180,81.20901079,Literature,10.1016/j.jssc.2018.02.012
115,CoMOF,[Co][OH]1[Co][OH]2[Co]1([OH2])([OH2])[OH2][Co]2,"['O=S([O-])(c1ccc(NC(Cc2ccc(C(=O)[O-])cc2)Cc2ccc(C(=O)[O-])cc2)cc1)=O', 'C1(C2=CC[N-]C=C2)=CC[N-]C=C1']",sql,3.66602,1.60138,3.3773,1.57032,160.29,102.08,0.36838,0.234589,298,7,2,200,88.47050485,Literature,10.1016/j.jssc.2018.02.012
116,MIL(53)Al,[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,6.36749,6.13987,6.36749,1.82729,1689.97,924.85,0.53246,0.291392,298,6,1,40.5260274,20.8,Literature,10.1021/acs.iecr.7b05294
117,MIL(53)Al,[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.41272,1.96062,2.3258,1.59068,1689.97,924.85,0.33213,0.208797,298,6,1,93.57442922,24.53333333,Literature,10.1021/acs.iecr.7b05294
118,MIL(53)Al,[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.41272,1.96062,2.3258,1.59068,1689.97,924.85,0.33213,0.208797,298,6,1,145.0228311,26.66666667,Literature,10.1021/acs.iecr.7b05294
119,MIL(53)Al,[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.41272,1.96062,2.3258,1.59068,1689.97,924.85,0.33213,0.208797,298,6,1,196.226484,27.2,Literature,10.1021/acs.iecr.7b05294
120,MIL(53)Al,[Al],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],rna,2.41272,1.96062,2.3258,1.59068,1689.97,924.85,0.33213,0.208797,298,6,1,249.1178082,27.73333333,Literature,10.1021/acs.iecr.7b05294
121,MIL(53)AlNH2,[Al],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],rna,3.00008,2.57773,2.87846,1.53788,55.2,35.9,0.37851,0.246125,298,6,1,40.5260274,20.8,Literature,10.1021/acs.iecr.7b05294
122,MIL(53)AlNH2,[Al],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],rna,3.00008,2.57773,2.87846,1.53788,55.2,35.9,0.37851,0.246125,298,6,1,91.57990867,37.33333333,Literature,10.1021/acs.iecr.7b05294
123,MIL(53)AlNH2,[Al],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],rna,3.00008,2.57773,2.87846,1.53788,55.2,35.9,0.37851,0.246125,298,6,1,143.8757991,48.53333333,Literature,10.1021/acs.iecr.7b05294
124,MIL(53)AlNH2,[Al],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],rna,3.00008,2.57773,2.87846,1.53788,55.2,35.9,0.37851,0.246125,298,6,1,192.9278538,58.13333333,Literature,10.1021/acs.iecr.7b05294
125,MIL(53)AlNH2,[Al],['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1'],rna,3.00008,2.57773,2.87846,1.53788,55.2,35.9,0.37851,0.246125,298,6,1,246.4657534,64,Literature,10.1021/acs.iecr.7b05294
126,MIL(88A)Fe,[O][Fe][O]([Fe][O])[Fe][O] ,['C(/C=C/C(=O)[O-])C(=O)[O-]'],acs,6.87609,5.10388,6.87609,1.0919,2445.17,2239.37,0.6468,0.592361,298,7,0.4,9.71128671,24.09836066,Literature,10.1007/s11356-018-2751-2
127,MIL(88A)Fe,[O][Fe][O]([Fe][O])[Fe][O] ,['C(/C=C/C(=O)[O-])C(=O)[O-]'],acs,6.87609,5.10388,6.87609,1.0919,2445.17,2239.37,0.6468,0.592361,298,7,0.4,18.63568817,46.2295082,Literature,10.1007/s11356-018-2751-2
128,MIL(88A)Fe,[O][Fe][O]([Fe][O])[Fe][O] ,['C(/C=C/C(=O)[O-])C(=O)[O-]'],acs,6.87609,5.10388,6.87609,1.0919,2445.17,2239.37,0.6468,0.592361,298,7,0.4,26.64842552,65.90163934,Literature,10.1007/s11356-018-2751-2
129,MIL(88A)Fe,[O][Fe][O]([Fe][O])[Fe][O] ,['C(/C=C/C(=O)[O-])C(=O)[O-]'],acs,6.87609,5.10388,6.87609,1.0919,2445.17,2239.37,0.6468,0.592361,298,7,0.4,35.71671188,88.03278689,Literature,10.1007/s11356-018-2751-2
130,MIL(88A)Fe,[O][Fe][O]([Fe][O])[Fe][O] ,['C(/C=C/C(=O)[O-])C(=O)[O-]'],acs,6.87609,5.10388,6.87609,1.0919,2445.17,2239.37,0.6468,0.592361,298,7,0.4,45.71624012,100.0819672,Literature,10.1007/s11356-018-2751-2
131,MIL(88A)Fe,[O][Fe][O]([Fe][O])[Fe][O] ,['C(/C=C/C(=O)[O-])C(=O)[O-]'],acs,6.87609,5.10388,6.87609,1.0919,2445.17,2239.37,0.6468,0.592361,298,7,0.4,79.89456305,105.4918033,Literature,10.1007/s11356-018-2751-2
132,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,0.805695215,2.013422819,Literature,10.1039/c7dt03775a
133,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,2.256011818,5.637583893,Literature,10.1039/c7dt03775a
134,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,4.351819375,10.87248322,Literature,10.1039/c7dt03775a
135,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,9.150650473,22.86885246,Literature,10.1039/c7dt03775a
136,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,9.1850124,22.95302013,Literature,10.1039/c7dt03775a
137,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,12.73124526,31.81208054,Literature,10.1039/c7dt03775a
138,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,20.95101036,52.34899329,Literature,10.1039/c7dt03775a
139,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,22.89161366,57.18120805,Literature,10.1039/c7dt03775a
140,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,23.03558323,57.54098361,Literature,10.1039/c7dt03775a
141,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,44.8119225,111.3934426,Literature,10.1039/c7dt03775a
142,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,61.18473918,149.0163934,Literature,10.1039/c7dt03775a
143,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,68.87856931,163.0327869,Literature,10.1039/c7dt03775a
144,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,73.67439644,162.295082,Literature,10.1039/c7dt03775a
145,MIL(88B)Fe,[O][Fe][O]([Fe][O])[Fe][O],['c1(cc(ccc1C(=O)[O-])C(=O)[O-])'],acs,8.03083,5.10584,7.98993,0.812304,2282.84,2810.32,0.69935,0.860946,298,6,0.4,79.31493294,163.0327869,Literature,10.1039/c7dt03775a
146,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,10,25,Literature,10.1039/c8qm00002f
147,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,20,46.25,Literature,10.1039/c8qm00002f
148,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,50,93.75,Literature,10.1039/c8qm00002f
149,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,100,125,Literature,10.1039/c8qm00002f
150,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,150,128.75,Literature,10.1039/c8qm00002f
151,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,200,125,Literature,10.1039/c8qm00002f
152,MIL(100)Al,[Al][O](Al])[Al],['O=C(C1=CC(C([O-])=O)=CC(C([O-])=O)=C1)[O-]'],moo,27.79726,11.16103,27.79599,0.630774,1349.52,2139.47,0.749,1.18743,298,7.6,0.4,300,122.5,Literature,10.1039/c8qm00002f
153,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,10,23.75,Literature,10.1039/c8qm00002f
154,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,20,47.5,Literature,10.1039/c8qm00002f
155,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,50,85,Literature,10.1039/c8qm00002f
156,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,100,100,Literature,10.1039/c8qm00002f
157,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,150,120,Literature,10.1039/c8qm00002f
158,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,200,107.5,Literature,10.1039/c8qm00002f
159,MIL(100)Fe,[Fe][O]([Fe])[Fe],['c1c(cc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-]'],moo,28.48274,11.8329,28.48677,0.684425,1325.74,1937.02,0.7628,1.11451,298,7.6,0.4,300,122.5,Literature,10.1039/c8qm00002f
160,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,5.73943662,5.105633803,Literature,10.1021/acsanm.8b00501
161,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,30.61032864,27.23004695,Literature,10.1021/acsanm.8b00501
162,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,36.17370892,31.31455399,Literature,10.1021/acsanm.8b00501
163,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,44.41314554,37.44131455,Literature,10.1021/acsanm.8b00501
164,MOF(74)ZnRT,[Zn],['[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]'],bnn,11.71715,10.90932,11.71715,1.21946,1612.88,1322.61,0.22743,0.0969412,298,7,1,68.66700201,53.2444668,Literature,10.1021/acsanm.8b00501
